r1	r2	MeO	L838	V383	V-L
H	OMe	8	6.6	6.6	0.0
H	OMe	9	5.8	5.9	0.1
Methyl	OMe	8	6.2	7.4	1.2
Ethyl	OMe	8	5.0	6.8	1.7
Allyl	OMe	8	5.1	6.6	1.5
Propyl	OMe	8	4.5	5.0	0.6
Methyl	OMe	9	5.4	6.8	1.4
Ethyl	OMe	9	5.5	6.8	1.4
Allyl	OMe	9	4.4	5.7	1.3
Methyl	NHEt	8	5.3	6.7	1.4
Ethyl	NHEt	8	4.4	5.9	1.5
Allyl	NHEt	8	4.3	5.9	1.5
Methyl	N[Et]2	8	4.9	6.1	1.2
Ethyl	N[Et]2	8	4.6	5.8	1.2
Methyl	NHEt	9	4.7	6.0	1.3
Ethyl	NHEt	9	<4.0	5.2	-.-
Ethyl	OtBu	8	5.3	6.0	0.7
Allyl	OtBu	8	5.3	6.2	0.9
Ethyl	OtBu	9	4.6	5.0	0.4
Allyl	OtBu	9	5.2	5.8	0.5
